"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\README.md", "Markdown", 0, 12, 0, 0, 0, 12
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\1_armadura_sencilla.py", "Python", 26, 0, 0, 0, 11, 37
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\3_portico_2_aguas.py", "Python", 20, 0, 0, 1, 9, 30
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\3_portico_3_niveles copy.py", "Python", 35, 0, 0, 3, 11, 49
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\3_portico_3_niveles.py", "Python", 34, 0, 0, 0, 10, 44
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\4.1_muro_alba.py", "Python", 26, 0, 0, 0, 5, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\4.2_portico_inclinado_brazo.py", "Python", 37, 0, 0, 0, 5, 42
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\4.3_aguas_model.py", "Python", 22, 0, 0, 0, 9, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\4_portico_2_aguas_v2.py", "Python", 21, 0, 0, 1, 9, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\5_asentamientos.py", "Python", 17, 0, 0, 7, 3, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\6_elastic_suports.py", "Python", 21, 0, 0, 0, 6, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\MODELOS.py", "Python", 208, 0, 0, 40, 61, 309
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_MQ6.py", "Python", 48, 0, 0, 3, 8, 59
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_MQ6I.py", "Python", 48, 0, 0, 3, 8, 59
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_MQ6IMod.py", "Python", 48, 0, 0, 0, 8, 56
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_Offset.py", "Python", 41, 0, 0, 0, 8, 49
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_cst.py", "Python", 54, 0, 0, 0, 5, 59
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\beamCSI.py", "Python", 33, 0, 0, 0, 11, 44
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\end_length_offset.py", "Python", 195, 0, 0, 33, 47, 275
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\local_axis_node.py", "Python", 28, 0, 0, 7, 0, 35
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\portal3_releases.py", "Python", 37, 0, 0, 0, 11, 48
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\releases.ipynb", "JSON", 0, 0, 907, 0, 1, 908
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\suport_k.py", "Python", 35, 0, 0, 1, 1, 37
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\testMembQ6 copy.py", "Python", 22, 0, 0, 0, 5, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\testMembQ6.py", "Python", 22, 0, 0, 0, 5, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\__init__.py", "Python", 27, 0, 0, 0, 4, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\analysis\linear_static copy.py", "Python", 219, 0, 0, 72, 75, 366
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\analysis\linear_static.py", "Python", 221, 0, 0, 72, 77, 370
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\analysis\manager.py", "Python", 68, 0, 0, 10, 18, 96
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\core\node.py", "Python", 71, 0, 0, 6, 17, 94
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\core\results.py", "Python", 162, 0, 0, 0, 57, 219
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\CST.py", "Python", 104, 0, 0, 0, 18, 122
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\MQ6.py", "Python", 277, 0, 0, 5, 48, 330
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\MQ6I.py", "Python", 211, 0, 0, 9, 26, 246
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\MQ6IMod.py", "Python", 32, 0, 0, 4, 4, 40
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\member.py", "Python", 319, 0, 0, 9, 62, 390
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\milcapy\elements\truss.py", "Python", 52, 0, 0, 0, 8, 60
