"filename", "language", "Markdown", "Python", "JSON", "LaTeX", "comment", "blank", "total"
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\README.md", "Markdown", 457, 0, 0, 0, 0, 151, 608
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\1_armadura_sencilla.py", "Python", 0, 26, 0, 0, 0, 11, 37
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\3_portico_2_aguas.py", "Python", 0, 20, 0, 0, 1, 9, 30
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\3_portico_3_niveles copy.py", "Python", 0, 35, 0, 0, 3, 11, 49
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\3_portico_3_niveles.py", "Python", 0, 34, 0, 0, 0, 10, 44
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\4.1_muro_alba.py", "Python", 0, 26, 0, 0, 0, 5, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\4.2_portico_inclinado_brazo.py", "Python", 0, 37, 0, 0, 0, 5, 42
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\4.3_aguas_model.py", "Python", 0, 22, 0, 0, 0, 9, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\4_portico_2_aguas_v2.py", "Python", 0, 21, 0, 0, 1, 9, 31
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\5_asentamientos.py", "Python", 0, 17, 0, 0, 7, 3, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\6_elastic_suports.py", "Python", 0, 21, 0, 0, 0, 6, 27
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\MODELOS.py", "Python", 0, 208, 0, 0, 40, 61, 309
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_MQ6.py", "Python", 0, 48, 0, 0, 3, 8, 59
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_MQ6I.py", "Python", 0, 48, 0, 0, 3, 8, 59
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_MQ6IMod.py", "Python", 0, 48, 0, 0, 0, 8, 56
"c:\Users\AMILCAR\Documents\GitHub\MilcaStructures\examples\WallPortal_Offset.py", "Python", 0, 41, 0, 0, 0, 8, 49
